Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
7,09-04-2010,484263.25,0,33.79,2.75,189.6901012,8.963
21,13-04-2012,769319.04,0,69.03,3.891,221.1484028,6.891
8,05-10-2012,976436.02,0,61.41,3.617,226.7705581,5.124
7,05-10-2012,505830.56,0,48.43,3.779,198.8221322,7.557
10,21-01-2011,1677556.18,0,56.75,3.336,127.4404839,8.744
4,30-03-2012,2089381.77,0,72.63,3.82,130.9670968,4.607
8,23-12-2011,1462254.05,0,38.16,3.112,222.8743862,6.123
8,10-08-2012,930745.69,0,83.74,3.494,225.5226885,5.401
44,16-09-2011,303974.28,0,67.54,3.641,129.4306,6.56
42,24-06-2011,501780.66,0,90.69,3.807,129.0663,8.494
16,06-04-2012,502662.07,0,48.93,3.854,197.5971285,6.169
37,08-10-2010,524483.65,0,66.34,2.633,210.5144398,8.476
24,13-01-2012,1155594.2,0,36.5,3.666,136.753,8.659
21,20-01-2012,651178.2,0,52.21,3.268,219.6258417,7.057
1,25-03-2011,1541102.38,0,69.97,3.473,214.5999389,7.742
23,06-04-2012,1604605.69,0,37.43,3.957,137.7970968,4.125
16,08-04-2011,439276.5,0,38.04,3.532,192.3418571,6.339
14,12-08-2011,1928773.82,0,77.0,3.812,186.4512115,8.625
30,30-04-2010,456140.34,0,66.93,2.78,210.0505833,8.2
34,03-02-2012,939367.14,0,38.64,3.354,130.3496774,9.653
45,25-03-2011,719737.25,0,41.76,3.625,184.9943679,8.549
28,25-02-2011,1311796.91,0,48.45,3.53,128.13,14.021
20,09-12-2011,2546123.78,0,41.64,3.415,211.8667856,7.082
39,22-06-2012,1532316.79,0,79.84,3.346,220.4886472,6.989
28,30-09-2011,1120731.76,0,83.26,3.877,129.6060667,13.503
8,29-07-2011,807082.19,0,86.46,3.682,218.8910733,6.425
41,06-08-2010,1338132.72,0,69.21,2.69,190.0990028,7.335
42,24-09-2010,492262.96,0,85.75,2.939,126.1900333,9.199
39,10-09-2010,1279666.47,1,79.94,2.565,210.2641156,8.36
27,26-08-2011,2034400.78,0,72.88,3.906,140.1629528,7.85
26,23-04-2010,881930.87,0,39.68,2.895,132.0226667,8.512
33,05-02-2010,274593.43,0,58.4,2.962,126.4420645,10.115
39,04-05-2012,1512227.34,0,77.15,3.749,220.3545033,6.989
39,16-07-2010,1339811.68,0,83.86,2.623,209.8630532,8.36
19,04-03-2011,1433569.44,0,29.28,3.605,133.6141429,7.771
36,31-08-2012,282647.48,0,84.79,3.608,220.9853964,6.623
43,20-01-2012,619225.65,0,52.72,3.268,211.4997811,9.653
28,17-06-2011,1268503.49,0,86.84,3.935,129.0432,13.736
7,02-09-2011,592355.24,0,53.4,3.511,194.5092113,8.622
8,12-08-2011,856796.1,0,86.05,3.638,219.0075249,6.425
2,10-12-2010,2378726.55,0,45.5,2.843,211.1247993,8.163
13,12-08-2011,1970341.38,0,75.95,3.606,129.2015806,6.877
31,24-08-2012,1379783.21,0,77.72,3.62,221.8083518,6.565
15,09-09-2011,607593.51,1,67.59,3.93,136.2745806,7.806
16,03-02-2012,475905.1,0,25.53,3.031,196.8728921,6.162
18,02-07-2010,1257928.35,0,71.22,2.815,132.5218667,9.342
44,12-10-2012,337796.13,0,55.1,3.797,131.1083333,5.217
15,02-07-2010,709337.11,0,66.13,2.958,132.5218667,8.099
32,09-04-2010,1095889.22,0,44.88,2.75,189.6901012,8.963
11,15-04-2011,1312905.8,0,76.64,3.743,218.6788642,7.574
27,02-12-2011,1806924.74,0,50.55,3.666,140.4307857,7.906
35,22-04-2011,841778.34,0,50.02,3.892,138.2475036,8.512
31,27-05-2011,1342273.64,0,76.86,3.786,215.1544822,7.931
2,09-09-2011,1748000.65,1,77.97,3.546,215.5148295,7.852
8,30-04-2010,778672.64,0,61.01,2.78,213.7176024,6.29
19,09-04-2010,1489613.32,0,55.66,2.992,131.9408065,8.185
14,10-06-2011,2132446.0,0,73.88,3.881,185.6486923,8.521
32,19-08-2011,1221318.17,0,73.72,3.499,194.2500634,8.622
41,19-11-2010,1172155.28,0,31.34,2.758,191.0312172,7.508
10,04-05-2012,1821364.42,0,77.02,4.058,131.136,7.382
29,03-02-2012,493159.35,0,40.58,3.633,137.0632581,8.988
16,01-10-2010,463977.54,0,59.39,2.759,190.6738241,6.986
5,29-06-2012,329658.1,0,87.08,3.286,222.4307191,5.801
8,15-06-2012,916918.7,0,77.14,3.393,225.3134743,5.679
23,14-09-2012,1279041.64,0,61.37,3.988,138.5673,4.156
28,01-10-2010,1203080.41,0,85.2,3.001,126.2346,14.313
8,11-11-2011,917088.48,0,50.56,3.297,221.4595129,6.123
31,23-03-2012,1365824.97,0,62.96,3.787,220.9244858,7.057
27,14-10-2011,1682652.51,0,64.78,3.744,140.4784194,7.906
13,15-04-2011,1950994.04,0,41.72,3.616,128.9107333,7.193
19,01-04-2011,1305950.22,0,30.68,3.811,134.0682581,7.658
22,14-10-2011,944337.32,0,62.63,3.583,140.4784194,7.706
39,03-09-2010,1345167.61,0,82.13,2.577,210.2966631,8.36
34,10-02-2012,1047658.09,1,36.7,3.411,130.3849032,9.653
25,11-03-2011,599828.39,0,36.73,3.582,207.1882876,7.343
12,09-09-2011,922850.57,1,88.0,3.913,129.3686129,13.503
8,15-10-2010,826546.96,0,62.59,2.72,215.1757,6.433
40,21-09-2012,899768.4,0,54.12,4.056,138.6534,4.156
16,23-03-2012,493503.89,0,38.7,3.664,197.2295234,6.162
30,24-08-2012,425296.65,0,77.72,3.62,221.8083518,6.565
45,06-05-2011,810150.64,0,58.21,4.046,185.9374378,8.521
3,13-08-2010,339597.38,0,86.74,2.692,214.9730444,7.346
19,15-07-2011,1391580.41,0,73.7,3.915,135.7837419,7.806
16,14-09-2012,526525.16,0,56.69,3.659,198.1267184,6.061
44,30-03-2012,310027.29,0,53.2,3.734,130.9670968,5.774
33,14-05-2010,331173.51,0,76.8,3.145,126.2085484,9.849
18,27-04-2012,961186.23,0,50.43,4.023,137.9781333,8.304
10,27-07-2012,1817603.66,0,83.98,3.769,130.7195806,7.17
8,08-10-2010,870349.86,0,62.94,2.633,215.1072262,6.433
16,14-05-2010,401770.9,0,41.26,2.788,189.4904116,6.842
